"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.257038420E-1,1.474000096E0,1.601399994E1,-4.082200241E1,4.387546867E1
5.337055610E-1,2.034000158E0,1.552700043E1,-3.993100357E1,4.289184008E1
5.417045450E-1,1.529000044E0,1.493300056E1,-3.947800064E1,4.223558786E1
5.497054430E-1,1.368000031E0,1.427900028E1,-3.947400284E1,4.199950206E1
5.577039200E-1,8.550000191E-1,1.384900093E1,-4.170200348E1,4.394977754E1
5.657000920E-1,9.780000448E-1,1.395100021E1,-4.181500244E1,4.409173755E1
5.736969670E-1,2.157999992E0,1.398000050E1,-4.093000031E1,4.330545350E1
5.816974360E-1,2.091000080E0,1.470600033E1,-4.059700012E1,4.322910068E1
5.896966930E-1,1.436000109E0,1.537600040E1,-4.014900208E1,4.301657648E1
5.976980610E-1,1.306000113E0,1.518100071E1,-4.014800262E1,4.294217663E1
6.056982560E-1,2.193000078E0,1.461600113E1,-4.193700027E1,4.446514062E1
6.136990760E-1,2.002000093E0,1.367400074E1,-4.349500275E1,4.563772085E1
6.217022400E-1,1.695000052E0,1.420100021E1,-4.215500259E1,4.451500507E1
6.297035290E-1,2.051000118E0,1.597400093E1,-4.160700226E1,4.461522099E1
6.377049750E-1,1.743000031E0,1.667100143E1,-4.205400085E1,4.527139633E1
6.457023970E-1,1.772000074E0,1.687200165E1,-3.982300186E1,4.328597811E1
6.537022400E-1,2.483000040E0,1.677200127E1,-3.781800079E1,4.144474031E1
6.617003260E-1,3.399000168E0,1.666400146E1,-3.983300018E1,4.331177727E1
6.696975530E-1,3.218000174E0,1.590300083E1,-4.172600174E1,4.476963459E1
6.776985290E-1,3.466000080E0,1.611000061E1,-4.172800064E1,4.486391995E1
6.856987640E-1,3.102000237E0,1.589500046E1,-4.139000320E1,4.444553757E1
6.937005610E-1,3.293000221E0,1.518600082E1,-4.083100128E1,4.368786029E1
7.017009120E-1,3.683000088E0,1.585700035E1,-4.172900009E1,4.479194569E1
7.097009510E-1,2.362000227E0,1.553600121E1,-4.328100204E1,4.604553742E1
7.177008730E-1,2.365000010E0,1.553900051E1,-4.283500290E1,4.562774633E1
7.256971620E-1,2.777000189E0,1.631800079E1,-4.161300278E1,4.478427045E1
7.337002480E-1,3.446000099E0,1.574700069E1,-4.116900253E1,4.421232540E1
7.416984510E-1,2.368000031E0,1.519900036E1,-3.926200104E1,4.216778108E1
7.496992720E-1,2.167000055E0,1.572500038E1,-3.948600006E1,4.255720535E1
7.577011470E-1,3.609000206E0,1.657600021E1,-4.240100098E1,4.566873711E1
7.656990760E-1,2.936000109E0,1.697000122E1,-4.195200348E1,4.534943918E1
7.737000140E-1,2.087000132E0,1.626600075E1,-3.937600327E1,4.265451891E1
7.816972400E-1,2.331000090E0,1.655500031E1,-4.071800232E1,4.401655722E1
7.896995450E-1,3.034000158E0,1.687600136E1,-4.373800278E1,4.697890448E1
7.977054820E-1,2.391000032E0,1.590900040E1,-4.261300278E1,4.554866826E1
8.057105220E-1,1.991000056E0,1.488400078E1,-3.992800140E1,4.265844414E1
8.137159900E-1,1.871000051E0,1.487100029E1,-4.015000153E1,4.285638708E1
8.217174750E-1,1.958000064E0,1.624400139E1,-4.082600021E1,4.398253788E1
8.297189980E-1,1.938000083E0,1.588100052E1,-4.015500259E1,4.322483378E1
8.377218890E-1,8.720000386E-1,1.560200119E1,-3.925300217E1,4.224903554E1
8.457246230E-1,1.318000078E0,1.701500130E1,-3.915100098E1,4.270887813E1
8.537259510E-1,1.900000095E0,1.697800064E1,-3.937800217E1,4.292423046E1
8.617262640E-1,3.780000210E-1,1.701300049E1,-3.947900009E1,4.299042356E1
8.697295840E-1,-8.470000625E-1,1.625200081E1,-3.991400146E1,4.310420458E1
8.777304430E-1,-2.320000082E-1,1.623300171E1,-3.990500259E1,4.308100974E1
8.857312250E-1,1.461000085E0,1.695100021E1,-3.902600098E1,4.257346218E1
8.937334510E-1,3.134000063E0,1.749900055E1,-3.901700211E1,4.287614057E1
9.017327480E-1,2.077000141E0,1.748700142E1,-3.912100220E1,4.290177107E1
9.097342320E-1,3.670000136E-1,1.632400131E1,-3.810100174E1,4.145231045E1
9.177338810E-1,1.219000101E0,1.694500160E1,-3.944800186E1,4.295071468E1
9.257327870E-1,2.029000044E0,1.692400169E1,-4.068100357E1,4.410762662E1
9.337353650E-1,1.423000097E0,1.642200089E1,-3.877800369E1,4.213597765E1
9.417365760E-1,7.670000196E-1,1.717700005E1,-3.922300339E1,4.282617908E1
9.497347790E-1,1.091000080E0,1.692400169E1,-4.078700256E1,4.417229553E1
9.577370060E-1,1.140000105E0,1.583700085E1,-4.011300278E1,4.314120058E1
9.657404430E-1,8.980000615E-1,1.572300053E1,-4.011100006E1,4.309189571E1
9.737416930E-1,1.070000082E-1,1.601900101E1,-3.887900162E1,4.204992995E1
9.817430610E-1,-2.040000111E-1,1.654100037E1,-3.820900345E1,4.163621325E1
9.897457170E-1,3.030000031E-1,1.731000137E1,-3.989000320E1,4.348494351E1
9.977480220E-1,7.550000548E-1,1.725000000E1,-4.167900085E1,4.511398494E1
1.005749545E0,1.423000097E0,1.667900085E1,-4.123400116E1,4.450232410E1
1.013752670E0,1.685000062E0,1.690000153E1,-3.934000015E1,4.284956113E1
1.021752748E0,4.400000274E-1,1.751200104E1,-3.888700104E1,4.265047046E1
1.029754115E0,-1.272000074E0,1.643300056E1,-3.898300171E1,4.232417647E1
1.037752279E0,-8.320000172E-1,1.618900108E1,-4.077100372E1,4.387539999E1
1.045750834E0,-1.080000028E-1,1.644600105E1,-4.021900177E1,4.345170558E1
1.053750756E0,-7.000000477E-1,1.621500015E1,-3.887400055E1,4.212605071E1
1.061746850E0,-3.160000145E-1,1.688000107E1,-4.055400085E1,4.392791000E1
1.069743061E0,6.300000548E-1,1.706000137E1,-4.100700378E1,4.441863242E1
1.077738490E0,3.710000217E-1,1.667100143E1,-4.078100204E1,4.405848451E1
1.085732279E0,6.820000410E-1,1.606200027E1,-4.078000259E1,4.383447945E1
1.093728959E0,2.212000132E0,1.612200165E1,-4.034400177E1,4.350230293E1
1.101725756E0,2.364000082E0,1.659600067E1,-3.990100098E1,4.327939017E1
1.109723725E0,1.523000121E0,1.632900047E1,-4.034100342E1,4.354712783E1
1.117723178E0,1.714000106E0,1.744300079E1,-4.034700012E1,4.398950434E1
1.125717748E0,1.784000039E0,1.837100029E1,-3.923500061E1,4.335967690E1
1.133715795E0,1.012000084E0,1.729400063E1,-3.889000320E1,4.257392337E1
1.141712240E0,-1.007000089E0,1.708600044E1,-4.077300262E1,4.421971510E1
1.149710522E0,-5.700000525E-1,1.675300026E1,-4.222600174E1,4.543152144E1
1.157718100E0,1.384000063E0,1.621100044E1,-4.234800339E1,4.536590551E1
1.165719272E0,1.435000062E0,1.677700043E1,-4.045400238E1,4.381841254E1
1.173720170E0,9.770000577E-1,1.665900040E1,-3.777099991E1,4.129316236E1
1.181718451E0,-2.670000196E-1,1.562100029E1,-3.842800140E1,4.148250512E1
1.189719389E0,5.649999976E-1,1.596600056E1,-3.988600159E1,4.296656283E1
1.197720131E0,1.730000138E0,1.598000050E1,-4.089900208E1,4.394407454E1
1.205718412E0,7.750000358E-1,1.570600033E1,-4.078000259E1,4.370683794E1
1.213718490E0,2.270000130E-1,1.629100037E1,-4.100200272E1,4.412043119E1
1.221714545E0,-2.410000116E-1,1.633300018E1,-4.144500351E1,4.454787640E1
1.229713803E0,-2.300000191E-2,1.599500084E1,-4.055200195E1,4.359249297E1
1.237714779E0,8.610000610E-1,1.525600052E1,-4.100200272E1,4.375672634E1
1.245718842E0,1.714000106E0,1.570600033E1,-4.067400360E1,4.363474317E1
1.253723842E0,1.904000044E0,1.664800072E1,-3.911700058E1,4.255491603E1
1.261724193E0,1.183000088E0,1.639400101E1,-3.933400345E1,4.263011360E1
1.269724037E0,1.073000073E0,1.656300163E1,-3.989200211E1,4.320713117E1
1.277728412E0,6.490000486E-1,1.551500034E1,-4.022000122E1,4.311362818E1
1.285733647E0,-4.940000176E-1,1.603700066E1,-4.121900177E1,4.423161237E1
1.293737826E0,-1.810000092E-1,1.716500092E1,-4.077900314E1,4.424474110E1
1.301739467E0,1.301000118E0,1.649200058E1,-4.011700058E1,4.339415191E1
1.309741420E0,2.360000163E-1,1.647200012E1,-4.133700180E1,4.449865393E1
1.317743764E0,-7.900000215E-1,1.691800117E1,-4.166700363E1,4.497757280E1
1.325747123E0,1.340000033E-1,1.664800072E1,-4.089100266E1,4.415028858E1
1.333750365E0,5.810000300E-1,1.632500076E1,-4.100400162E1,4.413809420E1
1.341754350E0,1.329000115E0,1.686300087E1,-3.967200089E1,4.312765579E1
1.349757318E0,1.162000060E0,1.611600113E1,-3.966800308E1,4.283253676E1
1.357765482E0,1.930000037E-1,1.574200058E1,-4.066400146E1,4.360514702E1
1.365769467E0,1.390000105E0,1.621700096E1,-4.156700134E1,4.464010328E1
1.373774467E0,2.328000069E0,1.630300140E1,-4.224300385E1,4.533959432E1
1.381781615E0,1.237000108E0,1.582800102E1,-4.290400314E1,4.574723239E1
1.389786615E0,8.770000339E-1,1.561600113E1,-4.211900330E1,4.492926729E1
1.397791537E0,6.650000215E-1,1.561600113E1,-3.899300003E1,4.200899627E1
1.405796186E0,2.340000123E-1,1.621199989E1,-3.921500015E1,4.243465486E1
1.413802436E0,-8.400000632E-2,1.672700119E1,-3.943900299E1,4.283963797E1
1.421804232E0,-1.286000013E0,1.624700165E1,-3.920500183E1,4.245763803E1
1.429810834E0,-9.400000572E-1,1.627300072E1,-4.032400131E1,4.349389882E1
1.437817084E0,2.210000038E0,1.612000084E1,-4.067900085E1,4.381232290E1
1.445817357E0,2.335000038E0,1.622500038E1,-4.045700073E1,4.365170983E1
1.453821147E0,1.009999990E0,1.581300068E1,-4.178600311E1,4.468938517E1
1.461818881E0,3.540000021E-1,1.656800079E1,-4.223100281E1,4.536608386E1
1.469821381E0,2.110000104E-1,1.775400162E1,-4.044900131E1,4.417432288E1
1.477825014E0,1.119000077E0,1.729400063E1,-4.034200287E1,4.390685384E1
1.485820248E0,6.560000181E-1,1.742900085E1,-4.078600311E1,4.435874724E1
1.493822084E0,5.570000410E-1,1.769400024E1,-4.067500305E1,4.436038511E1
1.501822748E0,1.232000113E0,1.721600151E1,-4.011900330E1,4.367428257E1
1.509824740E0,1.085000038E0,1.657400131E1,-3.833000183E1,4.177396061E1
1.517828451E0,7.410000563E-1,1.680700111E1,-3.944400024E1,4.288185540E1
1.525831889E0,9.710000753E-1,1.691000175E1,-4.100900269E1,4.436923824E1
1.533835287E0,1.106000066E0,1.702500153E1,-3.955900192E1,4.308118552E1
1.541837943E0,9.880000353E-1,1.709900093E1,-4.034000015E1,4.382542172E1
1.549843217E0,3.620000184E-1,1.666300011E1,-4.189700317E1,4.509041463E1
1.557842787E0,1.288000107E0,1.647900009E1,-4.179100037E1,4.494111814E1
1.565841186E0,2.613000154E0,1.697500038E1,-4.146700287E1,4.488307849E1
1.573839897E0,1.323000073E0,1.677099991E1,-3.967100143E1,4.309066166E1
1.581837006E0,1.281000018E0,1.604300117E1,-3.877500153E1,4.198237239E1
1.589836225E0,2.407000065E0,1.698200035E1,-3.744700241E1,4.118810477E1
1.597838959E0,1.489000082E0,1.734500122E1,-3.811200333E1,4.189977310E1
1.605839975E0,6.550000310E-1,1.734300041E1,-4.000400162E1,4.360652283E1
1.613842865E0,7.980000377E-1,1.763600159E1,-3.922500229E1,4.301472028E1
1.621843607E0,1.009999990E0,1.729200172E1,-3.911300278E1,4.277686770E1
1.629844779E0,-4.540000260E-1,1.659100151E1,-4.077500153E1,4.402349596E1
1.637845873E0,-7.200000286E-1,1.628100014E1,-4.233500290E1,4.536344162E1
1.645846420E0,4.770000279E-1,1.658500099E1,-4.156300354E1,4.475235245E1
1.653847514E0,8.650000691E-1,1.708300018E1,-4.100900269E1,4.443326931E1
1.661846186E0,9.510000348E-1,1.654700089E1,-4.044900131E1,4.371303406E1
1.669846811E0,-2.260000110E-1,1.652099991E1,-4.100000381E1,4.420401370E1
1.677846967E0,8.000000380E-3,1.645700073E1,-4.033100128E1,4.355941461E1
1.685847045E0,1.502000093E0,1.596500111E1,-3.989300156E1,4.299521878E1
1.693851029E0,1.539000034E0,1.668900108E1,-4.145800018E1,4.471752517E1
1.701852826E0,4.850000143E-1,1.642100143E1,-3.888300323E1,4.221104658E1
1.709858178E0,4.810000360E-1,1.641800117E1,-3.933000183E1,4.262195640E1
1.717865404E0,3.490000069E-1,1.639200020E1,-4.122600174E1,4.436668447E1
1.725869232E0,-1.070000082E-1,1.644700050E1,-4.010700226E1,4.334843601E1
1.733875443E0,3.310000300E-1,1.603100014E1,-4.033100128E1,4.340152291E1
1.741879662E0,-7.670000196E-1,1.537600040E1,-4.054500198E1,4.336942314E1
1.749885912E0,-7.120000124E-1,1.620300102E1,-4.054900360E1,4.367225526E1
1.757890522E0,2.340000123E-1,1.629800034E1,-3.999700165E1,4.319073641E1
1.765897357E0,-1.072000027E0,1.599100113E1,-3.965200043E1,4.276847483E1
1.773905522E0,-1.450000048E0,1.550300121E1,-3.886600113E1,4.186898125E1
1.781912006E0,-1.174000025E0,1.608100128E1,-3.842400360E1,4.166990438E1
1.789921381E0,-3.990000188E-1,1.716000175E1,-3.843400192E1,4.209272342E1
1.797929350E0,-6.300000101E-2,1.709200096E1,-3.988700104E1,4.339485358E1
1.805936693E0,1.700000018E-1,1.702600098E1,-3.944200134E1,4.296027327E1
1.813947162E0,-1.540000141E-1,1.736400032E1,-3.877100372E1,4.248203094E1
1.821954076E0,-9.750000238E-1,1.754600143E1,-4.066400146E1,4.429868854E1
1.829960834E0,-1.860000044E-1,1.716000175E1,-4.144900131E1,4.486111864E1
1.837964154E0,8.340000510E-1,1.662300110E1,-4.111900330E1,4.435980335E1
1.845964350E0,1.137000084E0,1.574800110E1,-3.977800369E1,4.279698454E1
1.853967162E0,6.770000458E-1,1.588600063E1,-3.977500153E1,4.283543033E1
1.861968842E0,8.780000210E-1,1.726700020E1,-4.101000214E1,4.450551039E1
1.869971811E0,3.880000114E-1,1.711700058E1,-4.256900024E1,4.588313453E1
1.877974193E0,-5.680000186E-1,1.675500107E1,-4.189100266E1,4.512104596E1
1.885977631E0,-7.810000181E-1,1.692600060E1,-4.055100250E1,4.394864345E1
1.893981420E0,-1.000000015E-1,1.662600136E1,-4.077800369E1,4.403725135E1
1.901982475E0,4.620000124E-1,1.631300163E1,-4.111500168E1,4.423540244E1
1.909983725E0,-2.830000222E-1,1.560600090E1,-4.043700027E1,4.334487679E1
1.917985717E0,-8.770000339E-1,1.545800114E1,-4.032100296E1,4.319145990E1
1.925991811E0,-6.880000234E-1,1.665600014E1,-4.133200073E1,4.456714002E1
1.933996615E0,-1.599000096E0,1.702600098E1,-4.110400009E1,4.451943771E1
1.941995834E0,-1.393000007E0,1.650400162E1,-4.021000290E1,4.348754824E1
1.950001576E0,2.600000203E-1,1.675300026E1,-4.066900253E1,4.398520643E1
1.958007904E0,9.410000443E-1,1.645100021E1,-4.100700378E1,4.419383722E1
1.966012904E0,5.340000391E-1,1.567800045E1,-4.144800186E1,4.431728458E1
1.974017709E0,-4.270000160E-1,1.539600086E1,-4.233300018E1,4.504777548E1
1.982019115E0,-4.630000293E-1,1.641100121E1,-4.032800293E1,4.354174032E1
1.990023217E0,-1.084000111E0,1.589300060E1,-4.043300247E1,4.345791313E1
1.998026225E0,-1.435000062E0,1.594800091E1,-4.087800217E1,4.390226668E1
2.006027357E0,-7.060000300E-1,1.620900154E1,-3.965600204E1,4.284657122E1
