"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.378742720E-1,1.762620087E2,2.702000046E1,9.195700073E1,2.006351567E2
5.458765380E-1,1.765460052E2,2.794900131E1,9.027700806E1,2.002487873E2
5.538804440E-1,1.772760010E2,2.846800041E1,8.915400696E1,2.004635741E2
5.618828270E-1,1.768100128E2,2.834200096E1,9.072000122E1,2.007365644E2
5.698841940E-1,1.749980011E2,2.752800179E1,9.073500061E1,1.990350010E2
5.778823580E-1,1.760610046E2,2.763200188E1,9.095100403E1,2.000827079E2
5.858787250E-1,1.772030029E2,2.875900078E1,9.272500610E1,2.020542282E2
5.938795460E-1,1.765170135E2,2.888300133E1,9.384500122E1,2.019885346E2
6.018763420E-1,1.758850098E2,2.827000046E1,9.318200684E1,2.010413290E2
6.098739210E-1,1.762460022E2,2.848300171E1,9.250900269E1,2.010767273E2
6.178771630E-1,1.765950012E2,2.842700195E1,9.273000336E1,2.014764066E2
6.258763420E-1,1.756280060E2,2.814000130E1,9.117500305E1,1.998748042E2
6.338797410E-1,1.745590057E2,2.785800171E1,9.185300446E1,1.992081554E2
6.418846240E-1,1.757620087E2,2.825300217E1,9.251300812E1,2.006219641E2
6.498855610E-1,1.770230103E2,2.782700157E1,9.250700378E1,2.016656488E2
6.578875140E-1,1.753670044E2,2.757700157E1,9.274200439E1,2.002876847E2
6.658860690E-1,1.742380066E2,2.828500175E1,9.207700348E1,1.990906799E2
6.738875140E-1,1.746900024E2,2.805300140E1,9.185100555E1,1.993493794E2
6.818852880E-1,1.753990021E2,2.812400055E1,9.207000732E1,2.000816223E2
6.898891940E-1,1.754020081E2,2.821200180E1,9.162300110E1,1.998913600E2
6.978938820E-1,1.757180023E2,2.769400215E1,9.151100159E1,2.000450887E2
7.059004050E-1,1.765540009E2,2.778400040E1,9.284500122E1,2.014037243E2
7.139040380E-1,1.760150146E2,2.855100060E1,9.239900208E1,2.008333155E2
7.219084130E-1,1.762100067E2,2.793200111E1,9.262300110E1,2.010203559E2
7.299127880E-1,1.759200134E2,2.708300209E1,9.274000549E1,2.007038832E2
7.379123970E-1,1.753630066E2,2.774400139E1,9.050900269E1,1.992831986E2
7.459105610E-1,1.765490112E2,2.803700066E1,8.983000183E1,2.000626302E2
7.539096240E-1,1.772550049E2,2.784700203E1,9.205800629E1,2.016667271E2
7.619088820E-1,1.766700134E2,2.779400063E1,9.262100220E1,2.014036995E2
7.699117330E-1,1.761770020E2,2.755600166E1,9.150900269E1,2.004284581E2
7.779146630E-1,1.757280121E2,2.779000092E1,9.206900787E1,2.003230406E2
7.859142330E-1,1.752990112E2,2.847300148E1,9.117600250E1,1.996334606E2
7.939137640E-1,1.755240021E2,2.831400108E1,9.139800262E1,1.999098618E2
8.019114600E-1,1.761470032E2,2.866200066E1,9.340200806E1,2.014279328E2
8.099098580E-1,1.771140137E2,2.920500183E1,9.238900757E1,2.018861924E2
8.179084910E-1,1.777980042E2,2.890800095E1,9.260900116E1,2.025443899E2
8.259069280E-1,1.766170044E2,2.870600128E1,9.317500305E1,2.017403825E2
8.339057170E-1,1.756390076E2,2.823700142E1,9.184400177E1,2.002041705E2
8.419084520E-1,1.760240021E2,2.864500046E1,9.273300171E1,2.010084450E2
8.499139990E-1,1.744800110E2,2.831500053E1,9.296800232E1,1.997199613E2
8.579183350E-1,1.738030090E2,2.705500221E1,9.186100769E1,1.984386652E2
8.659202490E-1,1.754480133E2,2.729500198E1,9.028700256E1,1.991952945E2
8.739204830E-1,1.769330139E2,2.853100204E1,8.982500458E1,2.004690523E2
8.819241550E-1,1.766260071E2,2.914300156E1,9.027100372E1,2.004866954E2
8.899238820E-1,1.766030121E2,2.877700043E1,9.049600220E1,2.005150020E2
8.979214210E-1,1.760950012E2,2.818100166E1,9.061400604E1,2.000362877E2
9.059190770E-1,1.749050140E2,2.771300125E1,9.241000366E1,1.997482995E2
9.139187640E-1,1.753860016E2,2.785300064E1,9.274100494E1,2.003420405E2
9.219214210E-1,1.754750061E2,2.757900047E1,9.140200806E1,1.997658782E2
9.299247800E-1,1.757090149E2,2.742800140E1,9.274000549E1,2.005658540E2
9.379277100E-1,1.751480103E2,2.782800102E1,9.251900482E1,2.000274716E2
9.459248970E-1,1.748740082E2,2.733900070E1,9.151800537E1,1.992583373E2
9.539243110E-1,1.758280029E2,2.761200142E1,9.128800201E1,2.000285193E2
9.619179050E-1,1.766820068E2,2.814900208E1,9.094500732E1,2.006985107E2
9.699159520E-1,1.760330048E2,2.708900070E1,9.207000732E1,2.004951844E2
9.779175140E-1,1.759690094E2,2.764600182E1,9.430000305E1,2.015487144E2
9.859172410E-1,1.757840118E2,2.853200150E1,9.295800781E1,2.008862493E2
9.939190380E-1,1.751130066E2,2.745100212E1,9.118100739E1,1.993291216E2
1.001921694E0,1.753230133E2,2.710400200E1,9.095800781E1,1.993643526E2
1.009922983E0,1.754350128E2,2.711000061E1,9.017600250E1,1.991082803E2
1.017924975E0,1.758120117E2,2.742500114E1,9.084200287E1,1.997855441E2
1.025928022E0,1.753300018E2,2.884700203E1,9.206700134E1,2.001226919E2
1.033929428E0,1.750440063E2,2.973900223E1,9.295800781E1,2.004145794E2
1.041929428E0,1.759790039E2,2.808500099E1,9.161900330E1,2.003781896E2
1.049930327E0,1.758800049E2,2.670000076E1,9.062100220E1,1.996467686E2
1.057930639E0,1.748630066E2,2.724200058E1,9.084900665E1,1.989289815E2
1.065929975E0,1.749100037E2,2.806100082E1,8.984100342E1,1.986261187E2
1.073930053E0,1.749080048E2,2.805900192E1,8.961800385E1,1.985233093E2
1.081928608E0,1.755730133E2,2.748500061E1,8.961600494E1,1.990284819E2
1.089927944E0,1.753380127E2,2.737700081E1,9.051000214E1,1.992108917E2
1.097927866E0,1.758390045E2,2.779500198E1,9.117500305E1,2.000119967E2
1.105929780E0,1.764160156E2,2.758100128E1,9.184200287E1,2.007941127E2
1.113930796E0,1.760770111E2,2.764700127E1,9.296000671E1,2.010199825E2
1.121930288E0,1.761800079E2,2.755900192E1,9.184400177E1,2.005846815E2
1.129930171E0,1.755380096E2,2.676300049E1,9.140500641E1,1.997116076E2
1.137925991E0,1.754960022E2,2.777100182E1,9.251700592E1,2.003234178E2
1.145920796E0,1.765850067E2,2.824400139E1,9.295400238E1,2.015451184E2
1.153916967E0,1.773480072E2,2.731900215E1,9.362300110E1,2.023954295E2
1.161912202E0,1.767860107E2,2.763200188E1,9.407200623E1,2.021543061E2
1.169910210E0,1.759130096E2,2.881200218E1,9.206300354E1,2.006268054E2
1.177909155E0,1.760070038E2,2.862800217E1,9.050100708E1,1.999711483E2
1.185906811E0,1.768470154E2,2.889400101E1,9.071700287E1,2.008464706E2
1.193905171E0,1.765120087E2,2.913600159E1,9.083000183E1,2.006376959E2
1.201903178E0,1.765970154E2,2.859900093E1,9.127800751E1,2.008384509E2
1.209901186E0,1.776100159E2,2.970400047E1,9.160200500E1,2.020360678E2
1.217898022E0,1.777160034E2,2.936100197E1,9.327700806E1,2.028438970E2
1.225892007E0,1.766840057E2,2.797900200E1,9.284300232E1,2.015437558E2
1.233887514E0,1.760750122E2,2.790300179E1,9.028000641E1,1.998285940E2
1.241883491E0,1.765850067E2,2.858800125E1,8.971600342E1,2.001212125E2
1.249883022E0,1.769120026E2,2.998900223E1,8.970800781E1,2.006108760E2
1.257881069E0,1.773320160E2,2.912500191E1,9.093600464E1,2.014057263E2
1.265877475E0,1.767820129E2,2.780000114E1,9.183900452E1,2.011445324E2
1.273874116E0,1.756290131E2,2.822700119E1,9.050500488E1,1.995832401E2
1.281868061E0,1.757470093E2,2.841000175E1,8.894100189E1,1.990091488E2
1.289863491E0,1.757830048E2,2.878900146E1,9.039000702E1,1.997469017E2
1.297856538E0,1.757210083E2,2.960500145E1,9.049900055E1,1.998609466E2
1.305850132E0,1.750990143E2,2.900100136E1,9.106300354E1,1.994823137E2
1.313847046E0,1.756090088E2,2.769200134E1,9.274000549E1,2.005145369E2
1.321843257E0,1.762700043E2,2.728500175E1,9.061600494E1,2.000671039E2
1.329842944E0,1.767580109E2,2.769000053E1,8.949500275E1,2.000487092E2
1.337841382E0,1.776520081E2,2.861000061E1,9.127100372E1,2.017651214E2
1.345842124E0,1.772140045E2,2.911400223E1,9.093700409E1,2.013006886E2
1.353842944E0,1.757300110E2,2.805000114E1,8.994700623E1,1.993948426E2
1.361839858E0,1.759480133E2,2.771100044E1,9.072800446E1,1.998929056E2
1.369838217E0,1.772820129E2,2.838800049E1,9.071700287E1,2.011575634E2
1.377838139E0,1.764560089E2,2.830800056E1,9.072200775E1,2.004209287E2
1.385837046E0,1.750980072E2,2.900000191E1,9.095200348E1,1.994306375E2
1.393837788E0,1.761750031E2,2.920500183E1,9.228300476E1,2.010142204E2
1.401835835E0,1.770770111E2,2.856800079E1,9.317300415E1,2.021227529E2
1.409836733E0,1.762330017E2,2.838400078E1,9.161700439E1,2.006424628E2
1.417833452E0,1.752050018E2,2.882900047E1,9.117500305E1,1.996015659E2
1.425828647E0,1.747200012E2,2.851300049E1,9.184900665E1,1.994399911E2
1.433828257E0,1.762340088E2,2.847100067E1,9.094600677E1,2.003501931E2
1.441825092E0,1.761790009E2,2.938000107E1,9.116600800E1,2.005329544E2
1.449819936E0,1.741610107E2,2.891500092E1,9.185100555E1,1.990094022E2
1.457815874E0,1.743050079E2,2.756000137E1,9.185600281E1,1.989455069E2
1.465810171E0,1.751460114E2,2.791200066E1,9.140300751E1,1.995237200E2
1.473810288E0,1.755190125E2,2.848100090E1,8.916500092E1,1.989182961E2
1.481810639E0,1.753830109E2,2.819400215E1,8.916700745E1,1.987582891E2
1.489811772E0,1.757600098E2,2.833700180E1,9.139700317E1,2.001199113E2
1.497807983E0,1.770590057E2,2.855000114E1,9.082900238E1,2.010345785E2
1.505806460E0,1.777200012E2,2.797200203E1,9.038100433E1,2.013344423E2
1.513806382E0,1.773670044E2,2.793800163E1,9.049500275E1,2.010694698E2
1.521803257E0,1.769740143E2,2.900000191E1,9.116300201E1,2.011752837E2
1.529802319E0,1.764830017E2,2.876400185E1,9.027400208E1,2.003072968E2
1.537802866E0,1.759350128E2,2.761300087E1,8.983600616E1,1.994645697E2
1.545798257E0,1.765470123E2,2.769100189E1,9.273400116E1,2.013336388E2
1.553799116E0,1.761880035E2,2.765200043E1,9.206600189E1,2.007062391E2
1.561799702E0,1.755580139E2,2.704000092E1,9.162700653E1,1.998681721E2
1.569799975E0,1.761000061E2,2.810000038E1,9.206500244E1,2.006907742E2
1.577798257E0,1.759590149E2,2.798000145E1,8.983400726E1,1.995359724E2
1.585795913E0,1.747310028E2,2.695900154E1,9.140900421E1,1.990309452E2
1.593795405E0,1.747960052E2,2.779600143E1,9.274500275E1,1.998196604E2
1.601791538E0,1.764530029E2,2.830500221E1,9.027600098E1,2.002163623E2
1.609789546E0,1.769000092E2,2.798300171E1,9.027400208E1,2.005643465E2
1.617787397E0,1.756590118E2,2.859900093E1,9.117300415E1,1.999662671E2
1.625781030E0,1.749600067E2,2.862600136E1,9.162400055E1,1.995630461E2
1.633776264E0,1.757260132E2,2.787400055E1,9.095200348E1,1.998220672E2
1.641769428E0,1.767430115E2,2.733200073E1,9.072500610E1,2.005396647E2
1.649764467E0,1.762200012E2,2.828500175E1,9.072400665E1,2.002108277E2
1.657758569E0,1.758180084E2,2.925200081E1,9.094600677E1,2.000970459E2
1.665753686E0,1.763490143E2,2.839400101E1,9.139300537E1,2.006436532E2
1.673748530E0,1.759450073E2,2.762300110E1,9.117500305E1,2.000813759E2
1.681746303E0,1.750370026E2,2.791000175E1,9.263100433E1,1.999935585E2
1.689742241E0,1.748520050E2,2.862400055E1,9.285300446E1,2.000355906E2
