"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.013601310E-1,3.749000072E0,8.953000069E0,-5.367000198E1,5.454063004E1
6.093546620E-1,3.298000097E0,8.598999977E0,-5.368600082E1,5.447023306E1
6.173522400E-1,3.879000187E0,8.562000275E0,-5.402400208E1,5.483563888E1
6.253502480E-1,3.683000088E0,7.443000317E0,-5.468800354E1,5.531492090E1
6.333492720E-1,3.440000057E0,7.241000175E0,-5.401600266E1,5.460763890E1
6.413509510E-1,4.210999966E0,8.230999947E0,-5.369000244E1,5.448025553E1
6.493504040E-1,3.493000269E0,7.980000496E0,-5.346100235E1,5.416604315E1
6.573497790E-1,2.974000216E0,7.201000214E0,-5.323100281E1,5.379812953E1
6.653504830E-1,3.222000122E0,7.494000435E0,-5.401600266E1,5.462847124E1
6.733452090E-1,2.315000057E0,8.039999962E0,-5.479300308E1,5.542809767E1
6.813431780E-1,3.176000118E0,8.583000183E0,-5.424300385E1,5.500962039E1
6.893421230E-1,4.384000301E0,8.898000717E0,-5.202000427E1,5.295729147E1
6.973405220E-1,4.331000328E0,8.245000839E0,-5.335600281E1,5.416272370E1
7.053399360E-1,3.592000246E0,8.060000420E0,-5.420700073E1,5.492053351E1
7.133348190E-1,2.892000198E0,8.085000038E0,-5.398000336E1,5.465868324E1
7.213327480E-1,2.894000053E0,8.000000000E0,-5.297500229E1,5.365376132E1
7.293281390E-1,2.548000097E0,7.888000488E0,-5.107400131E1,5.174230828E1
7.373226310E-1,2.616000175E0,7.335000515E0,-5.285900116E1,5.342957695E1
7.453220060E-1,2.438000202E0,7.475000381E0,-5.456700134E1,5.513054608E1
7.533200920E-1,3.114000082E0,8.650000572E0,-5.301500320E1,5.380622707E1
7.613204440E-1,2.533000231E0,8.687000275E0,-5.267700195E1,5.344854160E1
7.693186470E-1,1.729000092E0,8.885000229E0,-5.233700180E1,5.311397582E1
7.773191540E-1,2.381000042E0,9.863000870E0,-5.212300110E1,5.310136713E1
7.853183340E-1,4.029000282E0,9.689000130E0,-5.392400360E1,5.493548699E1
