"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.274666500E-2,6.196000290E1,-7.039000511E0,-4.857700348E1,7.904628236E1
2.074889100E-2,6.021400452E1,-1.128100014E1,-5.680800247E1,8.354721090E1
2.874877400E-2,5.484100342E1,-6.117000103E0,-5.322200394E1,7.666508364E1
3.674908700E-2,5.125300217E1,3.392000198E0,-5.357200241E1,7.421816044E1
4.474533700E-2,6.108700180E1,-1.271000028E0,-6.065000153E1,8.609099788E1
5.274217200E-2,5.037500381E1,-8.970000148E-1,-5.444100189E1,7.417727621E1
6.074096200E-2,4.557200241E1,-5.684000492E0,-5.896600342E1,7.474024903E1
6.874002400E-2,5.442800140E1,-6.982000351E0,-5.377300262E1,7.682897550E1
7.673990700E-2,4.770000076E1,2.864000082E0,-5.388100433E1,7.201843651E1
8.474002400E-2,5.913200378E1,-8.150000572E-1,-5.974600220E1,8.406451615E1
9.273768000E-2,5.024300385E1,-1.181000113E0,-5.399300385E1,7.376312535E1
1.007391260E-1,4.587100220E1,-4.912000179E0,-5.707400131E1,7.338745270E1
1.087379540E-1,5.632700348E1,-5.051000118E0,-5.189600372E1,7.675571070E1
1.167386570E-1,5.068400192E1,3.528000116E0,-5.245300293E1,7.302487489E1
1.247377580E-1,6.033100128E1,-5.960000157E-1,-5.796900177E1,8.366952909E1
1.327436570E-1,5.046500397E1,-1.343000054E0,-5.410500336E1,7.399913285E1
1.407463130E-1,4.494300079E1,-6.381000519E0,-5.851200104E1,7.405568684E1
1.487478760E-1,5.435400391E1,-6.349000454E0,-5.355200195E1,7.656686268E1
1.567480710E-1,5.043100357E1,3.316000223E0,-5.312000275E1,7.332132480E1
1.647470160E-1,6.013500214E1,-1.714000106E0,-5.852100372E1,8.392773174E1
1.727490080E-1,4.875700378E1,-2.332000017E0,-5.442500305E1,7.310789697E1
1.807517820E-1,4.512300110E1,-5.364000320E0,-5.918800354E1,7.461955166E1
1.887521720E-1,5.442000198E1,-5.254000187E0,-5.456200409E1,7.724087923E1
1.967549070E-1,4.779200363E1,4.328000069E0,-5.466900253E1,7.274274557E1
2.047565870E-1,5.858800125E1,-3.120000064E-1,-5.851700211E1,8.280634499E1
2.127580320E-1,4.918900299E1,-1.276000023E0,-5.298100281E1,7.230610520E1
2.207585400E-1,4.411500168E1,-6.292000294E0,-6.040500259E1,7.506321988E1
2.287588520E-1,5.308000183E1,-6.109000206E0,-5.376800156E1,7.580108488E1
2.367616260E-1,4.848200226E1,3.864000082E0,-5.221600342E1,7.135787309E1
2.447616650E-1,5.985100174E1,-7.350000143E-1,-5.818900299E1,8.347839663E1
2.527654150E-1,4.896800232E1,-1.113000035E0,-5.264500427E1,7.190688767E1
2.607681490E-1,4.311300278E1,-5.735000134E0,-5.816800308E1,7.263014400E1
2.687711180E-1,5.341100311E1,-4.790000439E0,-5.254800415E1,7.507977156E1
2.767737740E-1,5.004000092E1,4.466000080E0,-5.289900208E1,7.295376117E1
2.847747120E-1,5.981200409E1,-1.203000069E0,-5.930300140E1,8.423638773E1
2.927786570E-1,4.787900162E1,-1.586000085E0,-5.297100067E1,7.142017295E1
3.007793990E-1,4.560900116E1,-5.304000378E0,-5.729300308E1,7.342207848E1
3.087774070E-1,5.535100174E1,-5.518000126E0,-5.300400162E1,7.683492634E1
3.167815080E-1,4.882200241E1,3.798000097E0,-5.322300339E1,7.232358408E1
3.247818600E-1,6.058700180E1,-1.230000034E-1,-5.931200409E1,8.478628277E1
3.327808830E-1,5.044900131E1,2.040000111E-1,-5.444600296E1,7.422607755E1
3.407822900E-1,4.528000259E1,-4.885000229E0,-5.807400131E1,7.380197484E1
3.487788520E-1,5.437200165E1,-6.160000324E0,-5.288300323E1,7.609778051E1
3.567777970E-1,4.921200180E1,2.733000040E0,-5.433700180E1,7.336075364E1
3.647753760E-1,6.001200104E1,-1.730000138E0,-5.919000244E1,8.430830065E1
3.727733050E-1,5.045800400E1,-1.694000125E0,-5.187100220E1,7.238425708E1
3.807729150E-1,4.582000351E1,-5.564000130E0,-5.818700409E1,7.427084397E1
3.887693210E-1,5.466900253E1,-4.875000000E0,-5.612800217E1,7.850361833E1
3.967659220E-1,4.984300232E1,3.518000126E0,-5.534900284E1,7.456683794E1
4.047602580E-1,5.992300415E1,-1.542000055E0,-5.706900406E1,8.276481991E1
4.127582270E-1,4.905700302E1,-1.730000138E0,-5.074600220E1,7.060268539E1
4.207568990E-1,4.523000336E1,-5.707000256E0,-5.740100098E1,7.330210071E1
4.287554930E-1,5.426700211E1,-6.073000431E0,-5.199000168E1,7.539727532E1
4.367584620E-1,4.982300186E1,2.897000074E0,-5.233300400E1,7.231505674E1
4.447588910E-1,6.034400177E1,-4.110000134E-1,-5.785800171E1,8.360093201E1
4.527582270E-1,4.862400055E1,-1.050999999E0,-5.208500290E1,7.126180995E1
4.607604540E-1,4.587500381E1,-4.822000027E0,-5.729700089E1,7.355755549E1
4.687596720E-1,5.492200089E1,-4.921000004E0,-5.300400162E1,7.648572814E1
4.767600630E-1,5.016600418E1,2.921000242E0,-5.367400360E1,7.352590619E1
4.847622510E-1,6.065300369E1,-9.360000491E-1,-5.886300278E1,8.452523912E1
4.927668210E-1,4.903800201E1,-1.750000119E0,-5.331300354E1,7.245732874E1
5.007740470E-1,4.543000031E1,-6.149000168E0,-5.807000351E1,7.398527177E1
5.087780320E-1,5.551900101E1,-4.856000423E0,-5.200300217E1,7.622501195E1
5.167826020E-1,5.080100250E1,3.452000141E0,-5.178300095E1,7.262325624E1
5.247820160E-1,5.870600128E1,-2.122000217E0,-5.795200348E1,8.251867776E1
5.327825240E-1,4.666200256E1,-2.167000055E0,-5.396500397E1,7.137408511E1
5.407827580E-1,4.491700363E1,-4.842000008E0,-6.008100128E1,7.517119724E1
5.487855320E-1,5.353200150E1,-4.604000092E0,-5.377700424E1,7.601866998E1
5.567906100E-1,4.892600250E1,3.624000072E0,-5.344600296E1,7.254903397E1
5.647915870E-1,6.043000412E1,-7.750000358E-1,-5.886200333E1,8.436303372E1
5.727890870E-1,4.822700119E1,-1.643000126E0,-5.297300339E1,7.165669669E1
5.807913130E-1,4.538500214E1,-5.143000126E0,-5.729300308E1,7.327166622E1
5.887958830E-1,5.485000229E1,-4.372000217E0,-5.177800369E1,7.555526986E1
5.967983050E-1,5.044500351E1,3.415000200E0,-5.211600113E1,7.261155679E1
6.047997900E-1,6.019900131E1,-2.529000044E0,-5.840700150E1,8.391479860E1
6.127977580E-1,4.806100082E1,-2.217000008E0,-5.442000198E1,7.263822344E1
6.207943210E-1,4.513000107E1,-5.271000385E0,-5.907600403E1,7.452834825E1
6.287918210E-1,5.560500336E1,-3.398000240E0,-5.368400192E1,7.736559226E1
6.367920160E-1,5.246500397E1,5.790000439E0,-5.392500305E1,7.545864232E1
6.447889690E-1,6.078200150E1,-8.270000219E-1,-5.819400406E1,8.415270491E1
6.527880710E-1,4.744900131E1,-2.812000036E0,-5.262800217E1,7.091559548E1
6.607877970E-1,4.628700256E1,-7.430000305E0,-5.740100098E1,7.411185077E1
6.687890870E-1,5.675700378E1,-5.562000275E0,-5.267800140E1,7.763546327E1
6.767896720E-1,5.008900070E1,3.465000153E0,-5.311800385E1,7.309197322E1
6.847896330E-1,5.947300339E1,-1.308000088E0,-5.650900269E1,8.204886581E1
6.927888520E-1,4.803100204E1,-1.197000027E0,-5.174600220E1,7.061202950E1
7.007874070E-1,4.497800064E1,-5.917000294E0,-5.784500122E1,7.351241800E1
7.087839690E-1,5.527200317E1,-4.976000309E0,-5.267100143E1,7.651136717E1
7.167854930E-1,4.993000412E1,4.549000263E0,-5.267500305E1,7.272107440E1
7.247874460E-1,5.991200256E1,-1.638000131E0,-5.762700272E1,8.314446787E1
7.327906880E-1,4.788000107E1,-3.321000099E0,-5.307500076E1,7.155752406E1
7.407922900E-1,4.639500046E1,-5.778000355E0,-5.763200378E1,7.421138198E1
7.487945550E-1,5.676700211E1,-3.816000223E0,-5.112300110E1,7.648931708E1
7.567974850E-1,5.012900162E1,3.848000288E0,-5.111100388E1,7.169420218E1
7.647981880E-1,5.887100220E1,-1.464000106E0,-5.739800262E1,8.223423193E1
7.728018990E-1,4.699800110E1,-8.420000672E-1,-5.196300125E1,7.006907000E1
7.808032660E-1,4.694100189E1,-4.715000153E0,-5.674700165E1,7.379641645E1
7.888026410E-1,5.759600449E1,-3.561000109E0,-5.224600220E1,7.784359447E1
7.968041650E-1,5.086000061E1,4.369000435E0,-5.201100159E1,7.287641671E1
