"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.848679140E-1,-6.984000206E0,-2.807100105E1,-4.338400269E1,5.214335095E1
5.928651010E-1,-7.501000404E0,-2.876200104E1,-4.371200180E1,5.286073034E1
6.008602190E-1,-8.572999954E0,-2.879000092E1,-4.593700027E1,5.488686979E1
6.088604530E-1,-9.262000084E0,-2.866800117E1,-4.504000092E1,5.418708905E1
6.168603750E-1,-6.878000259E0,-2.815700150E1,-4.416500092E1,5.282680122E1
6.248610780E-1,-6.252000332E0,-2.754900169E1,-4.417200089E1,5.243282049E1
6.328612730E-1,-7.688000202E0,-2.813600159E1,-4.293200302E1,5.190276308E1
6.408600230E-1,-1.010200024E1,-2.910500145E1,-4.369400024E1,5.346323200E1
6.488577580E-1,-1.071400070E1,-2.935700226E1,-4.513900375E1,5.490130283E1
6.568523670E-1,-9.423000336E0,-2.920700073E1,-4.503300095E1,5.449599069E1
6.648504140E-1,-9.280000687E0,-2.882700157E1,-4.492400360E1,5.417822932E1
6.728504920E-1,-8.546999931E0,-2.832800102E1,-4.314200211E1,5.231404396E1
6.808506480E-1,-7.519000530E0,-2.877200127E1,-4.258900070E1,5.194406999E1
6.888540470E-1,-7.060000420E0,-2.874000168E1,-4.437800217E1,5.334077595E1
6.968567030E-1,-7.148000240E0,-2.820600128E1,-4.516100311E1,5.372325956E1
7.048584610E-1,-7.975000381E0,-2.846000099E1,-4.381500244E1,5.285193210E1
7.128550620E-1,-7.754000187E0,-2.879400063E1,-4.247600174E1,5.189826312E1
7.208500230E-1,-6.800000191E0,-2.843600082E1,-4.360000229E1,5.249577454E1
7.288515470E-1,-7.524000168E0,-2.877700043E1,-4.325900269E1,5.249826326E1
7.368522110E-1,-8.862000465E0,-2.954400063E1,-4.302300262E1,5.293733824E1
7.448545940E-1,-8.409000397E0,-2.968900108E1,-4.391900253E1,5.367519778E1
7.528567420E-1,-7.010000229E0,-2.991100121E1,-4.281100082E1,5.269335715E1
7.608568200E-1,-7.015000343E0,-3.000200081E1,-4.269900131E1,5.265486678E1
7.688598670E-1,-7.107000351E0,-2.938700104E1,-4.493300247E1,5.415791720E1
7.768592810E-1,-8.078000069E0,-2.967800140E1,-4.693500137E1,5.611534733E1
7.848628750E-1,-8.615000725E0,-2.899500084E1,-4.637600327E1,5.536842051E1
7.928684610E-1,-8.611000061E0,-2.742700195E1,-4.403900146E1,5.259109628E1
8.008681870E-1,-8.939000130E0,-2.709200096E1,-4.381400299E1,5.228335392E1
8.088686560E-1,-8.171999931E0,-2.775700188E1,-4.515600204E1,5.363112209E1
8.168698280E-1,-8.568000793E0,-2.843400192E1,-4.503900146E1,5.394825999E1
8.248701800E-1,-9.343000412E0,-2.786300087E1,-4.403200150E1,5.293822466E1
8.328697500E-1,-8.405000687E0,-2.786300087E1,-4.392600250E1,5.269235760E1
8.408702970E-1,-8.108000755E0,-2.874300194E1,-4.336700058E1,5.265545153E1
8.488704530E-1,-8.626000404E0,-2.778500175E1,-4.280900192E1,5.175929724E1
8.568721720E-1,-7.760000229E0,-2.697900200E1,-4.393400192E1,5.213713338E1
8.648767420E-1,-7.540000439E0,-2.870700073E1,-4.616100311E1,5.487970213E1
8.728780310E-1,-8.097000122E0,-3.003900146E1,-4.615200043E1,5.565887318E1
8.808760780E-1,-8.159000397E0,-2.948100090E1,-4.369800186E1,5.334054807E1
8.888775620E-1,-7.719000340E0,-2.807300186E1,-4.437700272E1,5.307536877E1
8.968765470E-1,-7.792000294E0,-2.735400200E1,-4.493700027E1,5.318167624E1
9.048763120E-1,-8.013000488E0,-2.719000053E1,-4.449000168E1,5.275286300E1
9.128781870E-1,-7.570000172E0,-2.751600075E1,-4.516100311E1,5.342238671E1
9.208806480E-1,-7.632000446E0,-2.860700226E1,-4.359400177E1,5.269767546E1
9.288838120E-1,-7.920000553E0,-2.780400085E1,-4.214400101E1,5.110680672E1
9.368854920E-1,-9.221000671E0,-2.784800148E1,-4.347500229E1,5.244629504E1
9.448867420E-1,-8.945000648E0,-2.779200172E1,-4.638200378E1,5.480600945E1
9.528876410E-1,-7.915000439E0,-2.632700157E1,-4.706500244E1,5.450571253E1
9.608890080E-1,-8.336000443E0,-2.589400101E1,-4.449600220E1,5.215249182E1
9.688912340E-1,-8.345000267E0,-2.607400131E1,-4.404900360E1,5.186335211E1
9.768911950E-1,-7.729000568E0,-2.564800072E1,-4.383200073E1,5.136926784E1
9.848910780E-1,-7.972000599E0,-2.585000038E1,-4.315900040E1,5.093598559E1
9.928896330E-1,-8.555000305E0,-2.549400139E1,-4.464600372E1,5.211907314E1
1.000886625E0,-7.585000515E0,-2.503300095E1,-4.443100357E1,5.155867965E1
1.008889086E0,-8.064000130E0,-2.523900032E1,-4.468800354E1,5.195240991E1
1.016890375E0,-8.701000214E0,-2.585700035E1,-4.602000046E1,5.349890012E1
1.024893773E0,-8.298000336E0,-2.682400131E1,-4.624200058E1,5.409904319E1
1.032895609E0,-7.955000401E0,-2.705800056E1,-4.523900223E1,5.331026870E1
1.040895258E0,-6.732000351E0,-2.630000114E1,-4.513900375E1,5.267389817E1
1.048896976E0,-5.247000217E0,-2.514900208E1,-4.481900024E1,5.165990805E1
1.056894750E0,-6.043000221E0,-2.485700035E1,-4.414500046E1,5.102126403E1
1.064896351E0,-6.973000526E0,-2.650000191E1,-4.424300385E1,5.204148563E1
1.072895609E0,-6.351000309E0,-2.771700096E1,-4.424200058E1,5.259203326E1
1.080892133E0,-6.146000385E0,-2.624600220E1,-4.558900070E1,5.296208962E1
1.088893422E0,-6.329000473E0,-2.544400215E1,-4.592600250E1,5.288337355E1
1.096892953E0,-6.621000290E0,-2.638100052E1,-4.525100327E1,5.279628898E1
1.104892289E0,-5.707000256E0,-2.666200066E1,-4.592500305E1,5.340915686E1
1.112893617E0,-6.104000092E0,-2.560300064E1,-4.570400238E1,5.274114421E1
1.120893695E0,-6.914000511E0,-2.549600029E1,-4.525300217E1,5.239927136E1
1.128894281E0,-7.646000385E0,-2.576000214E1,-4.680900192E1,5.397334243E1
1.136894789E0,-7.574000359E0,-2.648100090E1,-4.647200394E1,5.402088522E1
1.144896664E0,-6.968000412E0,-2.649400139E1,-4.357400131E1,5.147017320E1
1.152892523E0,-6.494000435E0,-2.471000099E1,-4.302600098E1,5.003991358E1
1.160886937E0,-5.893000126E0,-2.438400078E1,-4.392400360E1,5.058285319E1
1.168890141E0,-5.762000084E0,-2.583800125E1,-4.481200027E1,5.204727007E1
1.176887250E0,-5.557000160E0,-2.627600098E1,-4.492300034E1,5.233912912E1
1.184883930E0,-6.014000416E0,-2.613500214E1,-4.458600235E1,5.202997351E1
1.192885492E0,-6.744000435E0,-2.648300171E1,-4.513800049E1,5.276618244E1
1.200885726E0,-8.396000862E0,-2.672900200E1,-4.434500122E1,5.245389892E1
1.208888187E0,-9.017000198E0,-2.716100121E1,-4.523200226E1,5.352532398E1
1.216886742E0,-8.325000763E0,-2.736500168E1,-4.490000153E1,5.323682083E1
1.224886391E0,-7.134000301E0,-2.723900223E1,-4.334600067E1,5.168880901E1
1.232883109E0,-7.030000210E0,-2.732800102E1,-4.446300125E1,5.266117187E1
1.240879320E0,-7.693000317E0,-2.658000183E1,-4.580100250E1,5.351084546E1
1.248880883E0,-7.307000160E0,-2.608400154E1,-4.558200073E1,5.302344933E1
1.256879437E0,-7.199000359E0,-2.634000206E1,-4.446600342E1,5.218090431E1
1.264879828E0,-7.699000359E0,-2.692900085E1,-4.334400177E1,5.160569913E1
1.272875414E0,-7.224000454E0,-2.696600151E1,-4.211900330E1,5.053080109E1
1.280870062E0,-6.155000210E0,-2.659800148E1,-4.357900238E1,5.142438292E1
1.288868383E0,-6.523000240E0,-2.673200035E1,-4.458000183E1,5.238822328E1
1.296865101E0,-8.447999954E0,-2.746800041E1,-4.478800201E1,5.321489335E1
1.304865844E0,-8.916000366E0,-2.742400169E1,-4.512000275E1,5.354797456E1
1.312864555E0,-7.274000168E0,-2.735900116E1,-4.546600342E1,5.355915878E1
1.320864594E0,-6.334000111E0,-2.727100182E1,-4.591900253E1,5.378086919E1
1.328864672E0,-6.424000263E0,-2.699700165E1,-4.469100189E1,5.260600277E1
1.336863305E0,-6.637000084E0,-2.674000168E1,-4.413300323E1,5.202691068E1
1.344863266E0,-6.014000416E0,-2.613500214E1,-4.458600235E1,5.202997351E1
1.352862367E0,-5.318000317E0,-2.633500099E1,-4.369700241E1,5.129562773E1
1.360862797E0,-6.080000401E0,-2.714400101E1,-4.435800171E1,5.235833755E1
1.368866000E0,-6.935000420E0,-2.751100159E1,-4.580200195E1,5.387738693E1
1.376865258E0,-7.828000546E0,-2.712300110E1,-4.323000336E1,5.163107564E1
1.384863422E0,-7.777000427E0,-2.803700066E1,-4.400800323E1,5.275660613E1
1.392860180E0,-6.388000488E0,-2.818300056E1,-4.502200317E1,5.349830690E1
1.400858969E0,-6.245000362E0,-2.780300140E1,-4.491300201E1,5.319008053E1
1.408860961E0,-7.236000538E0,-2.845600128E1,-4.635400391E1,5.487073346E1
1.416860961E0,-7.444000244E0,-2.810800171E1,-4.590800095E1,5.434167324E1
1.424861898E0,-6.965000153E0,-2.805500221E1,-4.490700150E1,5.340630262E1
1.432861859E0,-6.136000156E0,-2.788700104E1,-4.535900116E1,5.359826780E1
1.440860219E0,-4.782999992E0,-2.693300056E1,-4.526100159E1,5.288498722E1
1.448861859E0,-5.191000462E0,-2.770800209E1,-4.592400360E1,5.388593483E1
1.456861937E0,-5.543000221E0,-2.765400124E1,-4.648000336E1,5.436781537E1
1.464863266E0,-5.163000107E0,-2.750900078E1,-4.391600037E1,5.207702739E1
1.472864281E0,-6.112000465E0,-2.760500145E1,-4.457900238E1,5.278901503E1
1.480862289E0,-7.883000374E0,-2.777800179E1,-4.479000092E1,5.329074272E1
1.488861625E0,-7.885000229E0,-2.795200157E1,-4.345000076E1,5.226270359E1
1.496856820E0,-6.519000530E0,-2.672900200E1,-4.413400269E1,5.200718324E1
1.504854711E0,-6.493000507E0,-2.627300072E1,-4.469400024E1,5.224924191E1
1.512849711E0,-5.910000324E0,-2.630900192E1,-4.480900192E1,5.229663793E1
1.520846234E0,-5.921000481E0,-2.649100113E1,-4.458500290E1,5.219821713E1
1.528846000E0,-6.585000515E0,-2.756700134E1,-4.558100128E1,5.367429061E1
1.536847758E0,-6.856000423E0,-2.796700096E1,-4.691700363E1,5.504873399E1
1.544849164E0,-7.024000168E0,-2.715000153E1,-4.524500275E1,5.323128248E1
1.552847094E0,-6.736000538E0,-2.638900185E1,-4.480300140E1,5.243149871E1
1.560845258E0,-7.724000454E0,-2.695400047E1,-4.669200134E1,5.446394508E1
1.568844516E0,-8.200000763E0,-2.717500114E1,-4.557200241E1,5.368918051E1
1.576841625E0,-7.487000465E0,-2.727400208E1,-4.334400177E1,5.175547174E1
1.584840023E0,-7.139000416E0,-2.724500084E1,-4.412800217E1,5.235012868E1
1.592839281E0,-6.513000488E0,-2.646500206E1,-4.569800186E1,5.320829713E1
1.600836000E0,-8.204999924E0,-2.743800163E1,-4.389600372E1,5.241207018E1
1.608837211E0,-8.414999962E0,-2.717800140E1,-4.289100266E1,5.146935101E1
1.616835101E0,-7.454000473E0,-2.672600174E1,-4.379300308E1,5.184272766E1
1.624834789E0,-8.094000816E0,-2.752000046E1,-4.400800323E1,5.253158691E1
1.632831742E0,-7.019000530E0,-2.717300224E1,-4.476800156E1,5.283760387E1
1.640830766E0,-6.852000237E0,-2.642700195E1,-4.477200317E1,5.243918962E1
1.648832797E0,-7.605000496E0,-2.549100113E1,-4.410100174E1,5.150267494E1
1.656829633E0,-7.765000343E0,-2.597300148E1,-4.554900360E1,5.300569559E1
1.664831117E0,-7.945000172E0,-2.690500069E1,-4.576700211E1,5.368072812E1
1.672832719E0,-7.358000278E0,-2.710700035E1,-4.365000153E1,5.190618720E1
1.680831195E0,-6.489000320E0,-2.629700089E1,-4.432800293E1,5.194815901E1
1.688829281E0,-6.818000317E0,-2.579200172E1,-4.589100266E1,5.308198005E1
1.696826586E0,-8.221000671E0,-2.591700172E1,-4.431900024E1,5.199470755E1
1.704822406E0,-8.414999962E0,-2.538400078E1,-4.365000153E1,5.119064712E1
1.712818187E0,-7.112000465E0,-2.499500084E1,-4.533400345E1,5.225421023E1
1.720815766E0,-6.487000465E0,-2.455900192E1,-4.388900375E1,5.070966773E1
1.728811234E0,-6.855000496E0,-2.486500168E1,-4.332700348E1,5.042309561E1
1.736810297E0,-7.893000603E0,-2.616600037E1,-4.532400131E1,5.292659189E1
1.744811195E0,-6.730000496E0,-2.632500076E1,-4.499600220E1,5.256366412E1
1.752808422E0,-5.772000313E0,-2.604800034E1,-4.478100204E1,5.212631248E1
1.760804476E0,-7.877000332E0,-2.589300156E1,-4.566000366E1,5.307853237E1
1.768800492E0,-8.243000031E0,-2.611100197E1,-4.565700150E1,5.323808091E1
1.776795180E0,-7.041000366E0,-2.545900154E1,-4.745400238E1,5.431039300E1
1.784792211E0,-7.194000244E0,-2.602000046E1,-4.722700119E1,5.439837962E1
1.792787601E0,-7.453000546E0,-2.658100128E1,-4.543700027E1,5.316594625E1
1.800780648E0,-6.920000553E0,-2.561600113E1,-4.544500351E1,5.262427449E1
1.808781391E0,-7.111000538E0,-2.664400101E1,-4.622000122E1,5.382153501E1
1.816777797E0,-7.241000175E0,-2.683900070E1,-4.621900177E1,5.393477697E1
1.824776781E0,-5.859000206E0,-2.559900093E1,-4.467000198E1,5.181742766E1
1.832777875E0,-5.991000175E0,-2.579700089E1,-4.500400162E1,5.221817212E1
1.840779359E0,-7.408000469E0,-2.585000038E1,-4.599900055E1,5.328235207E1
1.848781664E0,-7.780000210E0,-2.607400131E1,-4.677600098E1,5.411447325E1
1.856779750E0,-7.612000465E0,-2.714800072E1,-4.599200058E1,5.394646060E1
1.864780687E0,-7.579000473E0,-2.677200127E1,-4.487700272E1,5.280271463E1
1.872781000E0,-7.369000435E0,-2.538200188E1,-4.488500214E1,5.208849780E1
1.880780922E0,-6.769000530E0,-2.514300156E1,-4.511300278E1,5.208812643E1
1.888782250E0,-6.508000374E0,-2.648800087E1,-4.522100067E1,5.281010472E1
1.896780101E0,-5.348000050E0,-2.673600197E1,-4.455700302E1,5.223735659E1
1.904778930E0,-6.228000164E0,-2.590700150E1,-4.433200073E1,5.172317664E1
1.912776703E0,-8.193000793E0,-2.537400055E1,-4.543700027E1,5.268288299E1
1.920772953E0,-7.766000271E0,-2.597400093E1,-4.577200317E1,5.319808041E1
1.928772836E0,-7.571000576E0,-2.676400185E1,-4.387300110E1,5.194681963E1
1.936770844E0,-7.321000576E0,-2.655600166E1,-4.365200043E1,5.161700703E1
1.944768930E0,-7.353000164E0,-2.693000221E1,-4.454300308E1,5.256777296E1
1.952765726E0,-8.055000305E0,-2.690800095E1,-4.465000153E1,5.274984532E1
1.960764476E0,-7.070000172E0,-2.626000214E1,-4.399000168E1,5.171743287E1
1.968761547E0,-5.883000374E0,-2.596700096E1,-4.466900253E1,5.200206361E1
1.976758617E0,-5.646000385E0,-2.594200134E1,-4.444700241E1,5.177258712E1
1.984760844E0,-6.102000237E0,-2.588700104E1,-4.321700287E1,5.074525167E1
1.992761859E0,-6.283000469E0,-2.673400116E1,-4.432800293E1,5.214551521E1
2.000759750E0,-6.739000320E0,-2.659200096E1,-4.387900162E1,5.174857895E1
2.008763070E0,-7.987000465E0,-2.606800079E1,-4.298000336E1,5.089807001E1
2.016759672E0,-7.334000111E0,-2.682600212E1,-4.287000275E1,5.110048026E1
2.024757406E0,-6.706000328E0,-2.621600151E1,-4.265300369E1,5.051265089E1
2.032754359E0,-6.905000210E0,-2.560100174E1,-4.343600082E1,5.088984659E1
2.040754164E0,-6.823000431E0,-2.588300133E1,-4.577900314E1,5.303018217E1
2.048755375E0,-7.101000309E0,-2.654800034E1,-4.566300201E1,5.329474909E1
2.056758266E0,-6.434000492E0,-2.729200172E1,-4.376700211E1,5.197884371E1
2.064757641E0,-6.350000381E0,-2.765900040E1,-4.510500336E1,5.328981268E1
2.072755844E0,-7.659000397E0,-2.788100052E1,-4.576500320E1,5.413359396E1
2.080753305E0,-7.545000553E0,-2.648100090E1,-4.287000275E1,5.095103117E1
2.088752953E0,-6.397000313E0,-2.491900063E1,-4.433500290E1,5.125885960E1
2.096750883E0,-6.850000381E0,-2.616700172E1,-4.689400101E1,5.413577205E1
2.104749594E0,-6.564000130E0,-2.740200043E1,-4.454700089E1,5.271044501E1
2.112746625E0,-6.221000195E0,-2.763600159E1,-4.365500259E1,5.204045233E1
2.120744320E0,-6.855000496E0,-2.642900085E1,-4.510700226E1,5.272688850E1
2.128742133E0,-6.556000233E0,-2.722200203E1,-4.510600281E1,5.309020647E1
2.136736664E0,-6.378000259E0,-2.837300110E1,-4.231100082E1,5.134127842E1
2.144734633E0,-6.929000378E0,-2.605500031E1,-4.265200043E1,5.045856942E1
2.152732172E0,-7.827000141E0,-2.524200058E1,-4.465900040E1,5.189264727E1
2.160730023E0,-7.425000191E0,-2.629600143E1,-4.421100235E1,5.197329168E1
2.168727797E0,-6.484000206E0,-2.637800217E1,-4.287700272E1,5.075705487E1
2.176721625E0,-6.492000103E0,-2.638700104E1,-4.399300385E1,5.170884138E1
2.184722055E0,-6.629000187E0,-2.658800125E1,-4.488400269E1,5.258744290E1
2.192721039E0,-6.538000107E0,-2.694700050E1,-4.521800232E1,5.304294501E1
2.200719047E0,-6.842000484E0,-2.624500084E1,-4.510800171E1,5.263406556E1
2.208719516E0,-7.643000126E0,-2.604300117E1,-4.421000290E1,5.187656231E1
2.216719398E0,-7.703000546E0,-2.687500191E1,-4.487600327E1,5.287208729E1
2.224720922E0,-7.994000435E0,-2.607500076E1,-4.387300110E1,5.165897728E1
2.232719516E0,-7.411000252E0,-2.611000061E1,-4.398800278E1,5.168751730E1
2.240719281E0,-7.703000546E0,-2.696100044E1,-4.409400177E1,5.225430848E1
2.248722367E0,-8.655000687E0,-2.723300171E1,-4.364000320E1,5.216316036E1
2.256722562E0,-7.960000515E0,-2.717700195E1,-4.532000351E1,5.344018864E1
2.264725219E0,-7.790000439E0,-2.634100151E1,-4.565900040E1,5.328486450E1
2.272726039E0,-8.250000000E0,-2.611800194E1,-4.655000305E1,5.401032595E1
2.280723539E0,-8.100000381E0,-2.721000099E1,-4.822100067E1,5.595765422E1
2.288726781E0,-6.356000423E0,-2.749200058E1,-4.745000076E1,5.520608127E1
2.296729750E0,-4.636000156E0,-2.649200058E1,-4.567900085E1,5.300839284E1
2.304733422E0,-5.967000484E0,-2.716600037E1,-4.522100067E1,5.308988202E1
2.312732133E0,-8.940999985E0,-2.782000160E1,-4.542200089E1,5.400974111E1
2.320731312E0,-8.715000153E0,-2.632900047E1,-4.409000397E1,5.208738757E1
2.328732875E0,-8.004000664E0,-2.625700188E1,-4.364900208E1,5.156286994E1
2.336737250E0,-8.030000687E0,-2.654000092E1,-4.465200043E1,5.256095225E1
2.344743305E0,-6.429000378E0,-2.685800171E1,-4.711700058E1,5.461406454E1
2.352743461E0,-6.647000313E0,-2.660600090E1,-4.722800064E1,5.461269030E1
2.360742562E0,-7.678000450E0,-2.650700188E1,-4.487800217E1,5.268403855E1
2.368748187E0,-5.992000103E0,-2.579800034E1,-4.511500168E1,5.231447470E1
2.376750297E0,-4.993000031E0,-2.487900162E1,-4.501400375E1,5.167354550E1
2.384753734E0,-6.640000343E0,-2.677100182E1,-4.466000366E1,5.249087606E1
2.392756430E0,-8.439000130E0,-2.748700142E1,-4.375200272E1,5.235446220E1
2.400758266E0,-9.067000389E0,-2.636000061E1,-4.375300217E1,5.187856327E1
2.408758422E0,-8.646000862E0,-2.523000145E1,-4.465300369E1,5.201150875E1
2.416758187E0,-7.841000557E0,-2.551400185E1,-4.409900284E1,5.154772188E1
2.424758070E0,-6.764000416E0,-2.678800201E1,-4.544100189E1,5.318113769E1
2.432757914E0,-5.832000256E0,-2.679400063E1,-4.622800064E1,5.374903478E1
2.440756859E0,-6.811000347E0,-2.569900131E1,-4.578000259E1,5.293993796E1
2.448756937E0,-7.168000221E0,-2.573700142E1,-4.622400284E1,5.338943629E1
2.456758109E0,-7.006000519E0,-2.690300179E1,-4.543900299E1,5.326873887E1
2.464762094E0,-7.730000496E0,-2.716000175E1,-4.610300064E1,5.406389989E1
2.472759906E0,-8.162000656E0,-2.647900200E1,-4.721900177E1,5.474842399E1
2.480759320E0,-7.938000202E0,-2.681200218E1,-4.565600204E1,5.353845189E1
2.488759437E0,-6.680000305E0,-2.732500076E1,-4.510400391E1,5.315683624E1
2.496756781E0,-6.307000160E0,-2.710100174E1,-4.421500397E1,5.224183307E1
2.504758617E0,-6.668000221E0,-2.722700119E1,-4.432300186E1,5.244330572E1
2.512762836E0,-5.941000462E0,-2.679600143E1,-4.500000381E1,5.270978583E1
2.520767367E0,-5.712000370E0,-2.678000069E1,-4.589400101E1,5.344206876E1
2.528770297E0,-6.514000416E0,-2.640800095E1,-4.689500046E1,5.421213686E1
2.536771391E0,-7.215000153E0,-2.655600166E1,-4.521600342E1,5.293169577E1
2.544774516E0,-7.131000519E0,-2.709300041E1,-4.476700211E1,5.281066481E1
2.552777133E0,-6.157000065E0,-2.645700073E1,-4.566900253E1,5.313698646E1
2.560778617E0,-7.286000252E0,-2.600600052E1,-4.387800217E1,5.152355711E1
2.568779164E0,-6.921000481E0,-2.587400055E1,-4.310000229E1,5.074420508E1
