"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.802622110E-1,-1.896000099E1,-2.663000107E0,-1.322190094E2,1.335980526E2
5.882654530E-1,-1.910200119E1,-2.956000090E0,-1.329990082E2,1.343962818E2
5.962692810E-1,-1.965300179E1,-2.460000038E0,-1.327740021E2,1.342431663E2
6.042698280E-1,-1.963800049E1,-2.359000206E0,-1.315460052E2,1.330246873E2
6.122706490E-1,-1.999000168E1,-2.305999994E0,-1.321020050E2,1.336258116E2
6.202742810E-1,-1.950600052E1,-1.905000091E0,-1.337820129E2,1.352099851E2
6.282779530E-1,-1.925500107E1,-1.695000052E0,-1.333380127E2,1.347317844E2
6.362799850E-1,-2.019400024E1,-1.782000065E0,-1.327730103E2,1.343117471E2
6.442824460E-1,-1.887700081E1,-1.294000030E0,-1.334530029E2,1.347876834E2
6.522852970E-1,-1.936800003E1,-1.701000094E0,-1.326670074E2,1.340841068E2
6.602879920E-1,-1.977100182E1,-2.385000229E0,-1.335550079E2,1.350315551E2
6.682917810E-1,-1.878100014E1,-1.389000058E0,-1.354630127E2,1.367657965E2
6.762975630E-1,-1.941500092E1,-4.410000145E-1,-1.346809998E2,1.360739080E2
6.843011960E-1,-2.016200066E1,-1.235000014E0,-1.333339996E2,1.348554298E2
6.923011170E-1,-1.948600006E1,-1.713000059E0,-1.327779999E2,1.342111613E2
7.003043210E-1,-1.968100166E1,-1.180000067E0,-1.321090088E2,1.335721694E2
7.083063910E-1,-2.028700066E1,-1.339000106E0,-1.334440002E2,1.349839121E2
7.163090080E-1,-2.019400024E1,-1.439000010E0,-1.360110016E2,1.375094939E2
7.243079920E-1,-2.130000114E1,-2.272000074E0,-1.354420013E2,1.371254453E2
7.323094380E-1,-2.083800125E1,-2.579000235E0,-1.334350128E2,1.350769269E2
7.403123280E-1,-1.951800156E1,-2.259999990E0,-1.321060028E2,1.335591852E2
7.483178360E-1,-1.937200165E1,-1.877000093E0,-1.316620026E2,1.330927515E2
7.563241250E-1,-2.029600143E1,-1.606000066E0,-1.323270111E2,1.338840722E2
7.643277190E-1,-2.028200150E1,-1.421000123E0,-1.321040039E2,1.336594429E2
7.723283440E-1,-2.043400192E1,-1.980000138E0,-1.316540070E2,1.332450614E2
7.803296330E-1,-1.988900185E1,-2.569000006E0,-1.319900055E2,1.335048078E2
7.883328750E-1,-1.919600105E1,-2.686000109E0,-1.322180023E2,1.336312134E2
7.963360390E-1,-1.859800148E1,-2.449000120E0,-1.327810059E2,1.340995107E2
8.043419770E-1,-1.858600044E1,-2.179000139E0,-1.335630035E2,1.348675772E2
8.123470550E-1,-1.954900169E1,-2.548000097E0,-1.337790070E2,1.352238088E2
8.203524060E-1,-1.927600098E1,-1.888000131E0,-1.345650024E2,1.359517144E2
8.283565470E-1,-1.899300003E1,-1.218000054E0,-1.340110016E2,1.353557022E2
8.363590860E-1,-2.019600105E1,-1.784000039E0,-1.329960022E2,1.345325155E2
8.443645160E-1,-1.998300171E1,-2.127000093E0,-1.327730103E2,1.342852067E2
8.523676020E-1,-1.931900024E1,-2.702000141E0,-1.328870087E2,1.343111375E2
8.603694770E-1,-2.006800079E1,-3.241000175E0,-1.343300018E2,1.358594057E2
8.683715080E-1,-1.964100075E1,-2.190000057E0,-1.335559998E2,1.350102592E2
8.763740470E-1,-1.989300156E1,-2.572000027E0,-1.324370117E2,1.339474105E2
8.843786170E-1,-1.958400154E1,-3.012000084E0,-1.343350067E2,1.357884358E2
8.923810780E-1,-1.929200172E1,-1.903000116E0,-1.365740051E2,1.379429651E2
